foto 3
pin 1
X (um)	Y (um)
619.33	613.33

pin 2
X (um)	Y (um)
759.33	110.67

celulas
X (um)	Y (um)	TIPO	PB
726.667	120	4	1
609.667	160.667	4	1
616.667	132.333	4	1
635.333	111.333	4	1
706.333	121.667	4	1
629	172	4	1
742.667	137.667	3	1
709	102.667	3	1
706.333	198.333	3	1
652.667	154.333	3	1
608.667	282.333	3	1
709.667	250	3	1
759.667	175.333	3	1
784	172.667	3	1
845	240.667	3	1
798	215.333	3	1
776.667	192.333	3	1
600.667	247	3	1
617	223.333	3	1
604.333	182.333	3	1
648.667	180.667	3	1
528.667	197.333	3	1
633.667	249	3	1
641.667	268.667	3	1
605.333	316.333	3	1
651.667	308.667	3	1
729.333	346.667	3	1
532	396.667	3	1
524	251.333	3	1
538	136	3	1
581.667	131.667	3	1
460	187.333	3	1
466.667	213.667	3	1
446.667	234	3	1
399.667	207.667	3	1
394	180.667	3	1
394.667	195.667	3	1
428.667	211.333	3	1
483.667	213	3	1
428.667	313.667	3	1
395	255	3	1
390	232	3	1
358	230.333	3	1
337.333	248	3	1
333	207.333	3	1
345.333	162.667	3	1
290.667	313.333	3	1
292.333	289.667	3	1
312.333	254	3	1
374.667	280.667	3	1
316	347.333	3	1
339.333	339.333	3	1
429	345.333	3	1
308.333	218.667	3	1
293	137.667	3	1
276	152.667	3	1
223.667	174	3	1
218.333	209.667	3	1
185.667	217.667	3	1
175	263.333	3	1
228	315.333	3	1
195.667	304	3	1
203.667	277.333	3	1
153.333	312.667	3	1
295.667	272.333	3	1
228.333	270	3	1
281.333	232	3	1
230.667	384.667	3	1
322	365.333	3	1
212.667	465.333	3	1
188.667	456.333	3	1
166	460	3	1
155.667	485.667	3	1
130.667	521	3	1
115.333	473	3	1
118.333	418.333	3	1
274	473	3	1
244	501	3	1
172	543.667	3	1
195	600	3	1
299.667	426	3	1
189.333	345.667	3	1
250	228	3	1
188	178.667	3	1
213.333	162.667	3	1
242.333	148	3	1
135.333	307	3	1
158	276	3	0.3
