experiment

dia 0

espesor 100 //um



foto 3

foto 2

ancho lesion  0 // um

pin 1
X (um)	Y (um)
146.333	562.333

pin 8
X (um)	Y (um)
169.667	474.333

pin 10
X (um)	Y (um)
157.333	107.333

celulas
X (um)	Y (um)	TIPO	PB
839.111	301.889
832.889	297.444
825.333	303.222
823.556	310.333
834.667	313

vaso
X (um)	Y (um)	
844	457.556
832	471.778
821.778	478
806.667	484.667
787.111	485.111
773.333	477.556
756.444	485.111
744.444	490.444
754.222	496.667
771.556	498.444
788.444	498.889
812	493.556
817.778	483.778
840.444	474
852.889	456.222

vaso
X (um)	Y (um)	
705.778	536.667
696.444	537.556
690.667	549.556
700.444	547.778
710.667	543.778

vaso
X (um)	Y (um)	
796.444	536.667
788.444	535.333
776.444	542
776.444	557.111
788.444	557.556
796.444	546.889

vaso
X (um)	Y (um)	
696.889	521.556
683.556	515.778
660.444	521.111
645.333	527.778
647.111	540.222
660	539.333
675.111	533.556
690.667	530

vaso
X (um)	Y (um)	
851.556	520.222
841.333	522
831.556	532.667
827.111	542.889
821.778	544.222
824.889	552.667
844.889	550.444
851.111	548.222
852	535.778

vaso
X (um)	Y (um)	
811.111	552.667
798.222	560.222
791.556	565.556
795.556	576.222
803.111	570.444
811.111	566.444
813.778	560.667

foto 4
pin 2
X (um)	Y (um)
245.667	121

pin 3
X (um)	Y (um)
61.333	590.667

celulas
X (um)	Y (um)	TIPO	PB
161.333	435.222	3	1
156	461	3	1
125.333	417.444	3	1
45.333	402.778	3	1
21.778	457.889	3	1
43.556	486.778	3	1
102.222	530.333	3	1
150.667	503.222	3	1
204	518.778	3	1
35.556	371.667	3	1
80	301.333	3	1
59.111	281.333	3	1
6.667	324.444	3	1
128	198.333	3	1
119.556	220.556	3	1
166.222	551.333	3	1
292.333	590.889	3	0.5
484.333	630.444	3	0.7
359.444	436.222	3	0.7
226.111	534.444	3	0.3
507.889	525.111	3	0.5
483.889	518.889	3	0.3
615.889	524.667	3	0.3
819.444	531.778	3	0.5
811.444	583.778	3	0.5
799.889	387.333	3	0.5
812.333	377.556	3	0.5
600.333	450.222	3	0.5
705.667	588.667	3	0.7
90.222	533.222	3	0.5
128	546.111	3	0.7
134.222	441.556	3	0.5
371.556	523.778	3	0.5
123.111	264.556	3	0.3
104.889	249	3	0.5
72	241.889	3	0.5
59.111	209.444	3	0.7
194.222	349.889	3	0.5
280	319.667	3	0.3
269.778	564.111	3	0.3
225.333	556.556	3	0.3
191.111	533.444	3	0.5
232.889	486.333	1	1
225.333	494.333	1	1
178.222	481	1	1
178.222	449.444	1	1
164.444	409.444	1	1
101.778	364.556	1	1
127.556	356.556	1	1
128	316.556	1	1
93.778	270	1	1
52	302.889	1	1
39.556	291.778	1	1
285.778	254.556	1	1
367.111	307.667	1	1
20.444	346.333	1	1
50.222	358.333	1	1
104	328.111	1	1
118.222	300.556	1	1
28.444	418.889	1	1
16.889	428.222	1	1
104	454.444	1	1
265.778	523.556	1	1
252.444	495.111	1	1
233.778	513.333	1	1
157.333	516.889	1	1
172.444	508	1	1
138.222	461.778	1	1
119.556	475.556	1	1
97.778	474.222	1	1
351.556	569.333	1	1
357.778	527.111	1	1
308.444	452.889	1	1
440.889	542.556	1	1
574.222	577.667	1	1
422.222	317.556	1	1
329.333	533.667	1	1
404	597.111	1	1
773.333	598	1	1
844.889	604.667	1	1
829.778	626	1	1
591.111	615.333	1	1
476	551.778	1	1
589.333	531.333	1	1
631.556	623.778	1	1
729.778	489.889	1	1
751.111	340.222	1	1
672	337.556	1	1
594.667	411.333	1	1
796.444	458.444	1	1
772.889	398	1	1
748.444	387.333	1	1
682.667	249.556	1	1
454.667	386.222	1	1
500	376.889	1	1
416.444	388.889	1	1
395.111	347.556	1	1
409.889	236.444	1	1
313.889	335.556	1	1
313.889	256.444	1	1
248.111	194.222	1	1
313	203.111	1	1
348.556	209.778	1	1
228.111	253.778	1	1
203.222	229.778	1	1
181	228	1	1

limite tejido
X (um)	Y (um)

limite lesion
